;1;2;3;4;5;;
Suma de Sucursal;Etiquetas de columna;;;;;;
Etiquetas de fila;Bueno;Malo;Muy Bueno;Muy Malo;Regular;Total general;
62;42408;37448;37138;26722;32240;175956;0,098242474
85;262990;167280;291550;105655;196265;1023740;0,568752389
267;188769;226416;158331;143913;171414;888843;0,504122555
443;462492;298139;526727;204223;364589;1856170;1,043870628
586;226196;223266;264286;196310;202170;1112228;0,644990436
Total general;1182855;952549;1278032;676823;966678;5056937;
;;;;;;;
;;;;;;;
Suma de Sucursal;Etiquetas de columna;;;;;;
Etiquetas de fila;Bueno;Malo;Muy Bueno;Muy Malo;Regular;Total general;
56;80868;106066;96104;117200;87314;487552;
63;7618;18752;5860;7618;7618;47466;
70;14365;7650;17595;5950;10200;55760;
87;586;;2344;586;586;4102;
299;92002;50982;106066;33402;67390;349842;
321;;;;;1758;1758;
357;37400;32470;40970;17765;27115;155720;
472;58565;40715;60095;27030;48535;234940;
2230;5316;3544;5316;3987;5316;23479;
2503;94251;106800;77430;61944;80901;421326;
2556;38715;43521;37647;25098;33108;178089;
2623;22854;25784;20510;19338;18166;106652;
2958;145304;86828;189161;51831;114737;587861;
3023;5274;3516;11134;2344;7618;29886;
3327;3516;7032;4688;3516;2930;21682;
3678;40460;32130;41650;20570;31960;166770;
3732;146633;112079;132457;85942;116066;593177;
3983;101830;42755;121720;27795;69700;363800;
4208;165239;95688;199793;62463;128470;651653;
4353;1172;2930;2344;1172;586;8204;
4424;12306;8204;15236;11134;8204;55084;
4796;55803;76095;43254;56871;57405;289428;
4820;15686;14756;14074;9858;11780;66154;
4837;10370;11560;9520;6545;8755;46750;
5174;310;930;496;868;310;2914;
5211;9362;10602;7316;7502;7068;41850;
5286;17050;11160;15252;8494;13082;65038;
Total general;1182855;952549;1278032;676823;966678;5056937;
